o,h,l,c,v,qav,num_trades
286.02,287.2,280.97,286.9,2048.86086,583448.8150359,1217.0
286.9,288.73,272.2,279.48,2095.45075,582759.2919116,1290.0
279.49,284.3,275.1,283.39,1409.46653,395492.46823,936.0
283.39,284.48,280.0,281.09,1304.29908,368598.5909637,1084.0
282.27,310.0,275.5,298.44,3753.80144,1112013.3197554,2032.0
298.45,308.28,298.43,303.97,2314.15491,703056.492451,1194.0
303.99,308.28,302.07,308.19,2300.8683,704910.7674056,1217.0
308.2,309.0,304.56,307.02,2036.83339,626075.0670131,1143.0
307.84,307.85,302.5,303.42,1940.048,590736.3891364,1210.0
303.42,306.8,293.99,297.38,1720.9732,516318.2838191,1230.0
295.43,297.34,281.0,294.9,2161.27058,625831.1253387,1386.0
294.9,298.15,290.0,297.03,1847.80973,542034.2392673,1193.0
297.03,300.0,288.42,291.01,2073.05915,611200.2826675,1293.0
288.49,293.95,288.49,291.72,1913.21268,558232.721735,980.0
291.58,298.0,291.51,295.21,399.30381,117373.0793416,673.0
295.15,298.14,293.92,294.49,1308.43666,386075.9362762,1271.0
294.1,297.79,293.85,296.5,954.48083,282116.4274905,837.0
296.51,297.95,294.21,294.56,1469.11025,434183.1136184,1079.0
294.74,299.76,294.0,298.3,1096.47502,324643.5826924,1102.0
298.7,299.2,294.12,295.52,1780.65528,526452.9772806,1400.0
296.11,297.41,291.03,292.98,1215.77969,357959.5307687,1140.0
293.0,296.85,291.8,294.71,1296.5261,381090.7018822,999.0
294.72,298.1,294.5,295.5,781.58689,231471.7919324,856.0
295.53,297.99,295.51,296.39,1182.19878,350637.4101865,808.0
296.38,296.99,295.21,296.79,1055.96868,312680.234006,1001.0
296.78,297.36,292.03,293.92,953.19345,281044.9643183,1075.0
294.1,294.38,293.91,294.2,952.23361,280119.8408526,1088.0
294.21,296.36,294.19,296.33,1346.96661,396750.1748098,1071.0
296.14,297.0,292.81,292.82,1080.77536,319071.1778056,1056.0
293.28,296.1,292.8,294.01,784.24049,230310.2106326,788.0
294.01,294.1,292.06,292.97,893.96022,262295.0310868,970.0
292.97,296.7,290.1,293.0,1032.38134,302812.8008767,964.0
292.12,295.4,292.01,293.98,831.90574,243544.1528506,803.0
292.03,294.0,291.0,291.87,1225.60274,357763.4209413,1008.0
291.86,294.87,291.86,293.5,1032.1182,302419.7329748,875.0
292.1,297.08,292.1,296.06,1391.78327,410494.0590898,984.0
296.07,308.0,295.03,304.59,1449.75907,433503.440308,1077.0
304.59,309.4,303.0,308.11,1935.68287,592561.3743645,1650.0
308.11,308.12,303.62,305.04,1193.95837,364276.7480357,1068.0
304.76,307.63,300.85,305.0,2015.83137,613077.4606158,1293.0
305.0,316.0,302.1,308.53,1947.89106,598628.7862112,1330.0
308.46,311.39,306.55,308.34,1708.98192,527187.6156431,1121.0
308.35,311.29,307.61,307.62,1912.75893,591678.8762388,1162.0
308.71,310.0,304.85,306.62,1328.49805,408152.5836321,1166.0
306.61,307.97,305.0,305.03,1292.89049,395225.3004939,905.0
305.03,307.87,305.0,307.25,755.09981,230695.4743172,737.0
