o,h,l,c,v,qav,num_trades
4307.0,4406.52,4300.0,4378.48,112.122698,488611.16256195,1487.0
4400.0,4560.0,4380.01,4419.85,127.648841,566070.54666564,1259.0
4411.0,4465.43,4405.15,4424.01,100.326522,445516.46763726,1601.0
4434.22,4479.9,4401.0,4410.01,112.983763,502131.0692194,1506.0
4419.99,4561.63,4390.0,4409.09,175.608363,778846.41796141,1646.0
4409.09,4433.11,4378.51,4419.94,85.917207,378448.87052818,1334.0
4410.0,4431.78,4360.0,4380.0,53.272278,234269.40369656,839.0
4380.0,4467.33,4361.0,4405.0,78.757886,346441.5318221,1494.0
4405.0,4417.0,4213.21,4271.0,331.171327,1419875.62634834,3235.0
4280.0,4310.0,4189.71,4297.99,206.968904,881734.07527842,2474.0
4290.0,4297.66,4180.8,4258.57,220.858495,933667.56248863,1753.0
4258.58,4295.99,4235.0,4235.01,139.012073,593728.174197,1891.0
4235.02,4329.86,4222.02,4310.0,105.554878,451975.7727043,1532.0
4314.9,4360.0,4274.0,4290.01,100.114785,431175.75597201,1478.0
4290.01,4373.0,4280.0,4310.01,142.211634,616168.89665941,1863.0
4310.01,4328.0,4185.01,4228.0,189.103419,800967.0571785,2255.0
4230.0,4248.97,4142.0,4211.01,205.859774,861259.43628039,1897.0
4211.01,4225.5,4153.02,4173.11,123.214855,514884.54200205,1955.0
4170.05,4236.63,4156.0,4208.59,107.960634,451959.41245655,1558.0
4208.59,4235.0,4142.0,4143.04,104.558746,439397.0354212,1244.0
4143.06,4174.49,4110.0,4154.1,191.098447,791036.28219642,2222.0
4154.1,4234.77,4112.23,4226.05,161.845667,679402.77108484,1586.0
4226.05,4335.0,4226.05,4314.49,156.27019,671233.49066818,1769.0
4288.0,4340.0,4275.0,4327.63,102.131284,440590.29231439,1473.0
4345.0,4355.0,4292.43,4292.43,63.234304,273872.95229276,864.0
4318.99,4348.0,4292.0,4316.98,69.287895,299010.6054252,1188.0
4316.98,4410.0,4300.02,4392.36,118.210068,516542.86186393,1058.0
4396.0,4417.0,4370.45,4405.0,85.300421,375572.16433485,1331.0
4391.11,4416.78,4312.57,4382.07,132.612913,580096.50120682,1554.0
4382.07,4400.0,4315.95,4379.73,73.696413,321146.9478296,929.0
4331.02,4399.0,4330.06,4369.0,27.421466,119666.04348199,486.0
4369.0,4399.0,4362.02,4381.0,71.61948,313763.74258882,1144.0
4381.0,4389.48,4330.09,4334.0,40.814739,178223.60202193,810.0
4335.0,4388.54,4312.56,4335.9,50.767279,220425.29972612,731.0
4335.9,4380.0,4326.0,4343.01,35.610569,155084.17012193,598.0
4343.01,4370.86,4326.02,4335.38,35.635672,155173.39762022,683.0
4342.23,4479.5,4336.01,4423.0,63.149761,279863.00251379,838.0
4425.0,4517.0,4425.0,4457.62,83.05117,370367.62053552,1564.0
4478.0,4479.98,4437.0,4455.99,52.945462,235694.41136461,770.0
4454.99,4514.99,4441.01,4487.99,88.991483,398006.6081285,1406.0
4487.99,4599.0,4460.02,4590.0,112.670626,512318.90929307,1564.0
4590.0,4600.0,4525.0,4575.01,99.797492,456672.19490647,1078.0
4597.49,4658.0,4573.04,4640.0,81.005771,374296.72521837,1198.0
4640.0,4660.0,4600.0,4659.0,62.80978,290979.64931829,984.0
4650.0,4660.0,4550.0,4584.06,87.693733,403396.93215807,1152.0
4587.02,4630.0,4564.32,4615.0,74.610682,342670.5912777,1182.0
4615.0,4699.98,4615.0,4664.31,87.381004,406533.09517373,1437.0
4684.99,4889.98,4664.11,4787.49,158.619399,756744.63522477,2365.0
4803.35,4852.0,4720.12,4786.95,175.348547,840184.00121131,3252.0
4786.95,4888.88,4780.0,4788.02,151.702822,733619.4890291,3388.0
4819.99,4879.99,4785.78,4785.78,76.481356,368517.19027941,1125.0
4787.88,4839.41,4720.16,4790.0,126.505667,603784.37061949,1424.0
4790.01,4880.0,4780.02,4831.99,187.228795,904609.9839861,2110.0
4830.97,4960.0,4800.07,4911.0,245.732168,1202742.03559242,2188.0
4910.99,4933.14,4680.59,4783.06,255.570965,1231010.7939693,1732.0
4783.06,4823.17,4710.0,4753.16,262.176011,1252187.40178199,1829.0
4740.73,4840.0,4720.02,4829.99,217.757417,1039503.79333472,1704.0
4820.0,4852.22,4791.01,4818.99,132.149108,636937.38105383,1063.0
4804.93,4839.99,4751.01,4825.01,68.946994,329855.46741996,679.0
4839.99,4881.61,4824.74,4872.1,49.27021,239036.31481841,396.0
4850.42,4862.43,4800.57,4821.43,23.129656,111720.55063028,224.0
4821.43,4880.0,4810.16,4843.37,49.501708,240116.86380296,573.0
4848.02,5010.2,4843.21,5010.2,66.478086,327236.18872531,696.0
5010.2,5265.5,5010.2,5184.0,424.783595,2191460.92595324,2328.0
5184.0,5325.0,5173.1,5305.01,236.434233,1236020.48221317,1581.0
5316.42,5413.73,5239.99,5312.43,283.424362,1508376.30464944,1623.0
5300.06,5439.99,5265.05,5430.0,216.079498,1156548.52584954,1229.0
5439.99,5835.0,5379.84,5748.0,501.506996,2797899.70972424,3449.0
5740.02,5846.17,5458.84,5628.02,390.174581,2203760.1620804,2531.0
5631.01,5775.0,5568.98,5649.0,252.694962,1434309.00715109,1630.0
5658.97,5800.0,5566.84,5762.25,274.277906,1558579.49712335,1763.0
5762.24,5779.0,5520.0,5558.99,229.708539,1305554.53908234,1306.0
5533.76,5650.0,5533.74,5649.98,231.464636,1297237.38588845,984.0
5650.0,5722.87,5580.01,5700.51,176.36598,996600.82728318,985.0
5700.52,5721.91,5585.02,5653.41,154.978738,875145.57215367,932.0
5653.4,5779.0,5600.03,5720.02,154.145184,873737.74786092,1118.0
5720.02,5779.99,5686.0,5752.04,162.373188,929249.5513113,1019.0
5741.03,5798.02,5685.02,5750.0,150.848419,867077.37168521,1117.0
5750.01,5900.0,5735.01,5869.99,172.047537,992161.41570042,1088.0
5855.03,5922.3,5770.02,5771.07,184.164345,1079582.26272179,1289.0
5771.06,5805.0,5737.27,5786.11,192.580614,1111109.22560943,1144.0
5786.11,5786.11,5400.01,5400.01,325.959274,1805399.53806455,1846.0
5419.0,5605.0,5404.98,5544.14,283.575163,1567460.68127788,1303.0
5539.99,5569.47,5468.01,5533.56,188.797693,1043611.57950172,882.0
5530.23,5756.36,5485.0,5709.99,168.446286,946486.91415276,988.0
5710.0,5739.99,5600.02,5600.05,190.579947,1086329.81522882,1014.0
5601.02,5694.77,5600.01,5628.32,157.471371,889323.00280234,1173.0
5628.31,5749.99,5585.19,5728.99,269.703313,1528817.14787835,1811.0
5739.96,5749.8,5664.0,5681.22,339.080541,1935187.27279677,2017.0
5681.22,5720.3,5642.02,5703.27,357.048262,2031339.67799348,1622.0
5718.78,5788.91,5700.01,5760.02,215.113028,1230917.87883559,1516.0
5760.0,5774.98,5590.0,5620.01,238.576939,1350631.38760426,1676.0
5612.02,5687.61,5591.01,5650.02,229.047214,1291652.85172694,1702.0
5657.96,5687.61,5540.02,5579.98,192.989904,1088875.50627373,1335.0
5579.89,5628.63,5508.63,5603.01,327.215957,1829212.02174179,1763.0
5619.98,5649.99,5574.21,5622.06,240.027297,1348017.18570194,1571.0
5622.1,5636.53,5585.25,5595.0,202.012065,1133273.36576189,1708.0
5595.0,5596.0,5422.01,5484.86,318.194075,1750084.1999868,3383.0
5483.99,5561.99,5277.22,5277.22,403.294479,2196808.77187841,2758.0
5267.38,5379.0,5226.0,5273.25,510.528023,2707391.53751443,2723.0
5283.98,5368.7,5037.95,5322.28,431.837488,2245027.98639128,2623.0
5344.0,5408.0,5320.28,5382.98,323.964884,1743709.93294857,1425.0
5382.99,5588.0,5368.12,5512.06,329.985424,1813887.54732424,1912.0
